日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/6/16,'002230,科大讯飞,35.07,35.21,34.33,34.5,34.12,0.95,2.7843,1.676,34312259,1192668204,77079403199,71795667571
2020/6/15,'002230,科大讯飞,34.12,34.98,34.11,34.87,34.9,-0.78,-2.235,1.7653,36138716,1245591792,74991423928,69850817722
2020/6/12,'002230,科大讯飞,34.9,35.45,34.1,34.2,34.86,0.04,0.1147,2.352,48149476,1670028183,76705764803,71447641808
2020/6/11,'002230,科大讯飞,34.86,36.45,34.63,35.6,35.45,-0.59,-1.6643,3.382,69236213,2458150092,76617849887,71365753394
2020/6/10,'002230,科大讯飞,35.45,35.67,33.52,33.78,33.63,1.82,5.4118,4.0602,83120061,2900210047,77939486125,72573607510
2020/6/9,'002230,科大讯飞,33.63,33.95,33.5,33.95,33.8,-0.17,-0.503,0.7723,15810730,531923346.1,73938079503,68847684642
2020/6/8,'002230,科大讯飞,33.8,34.05,33.56,33.58,33.38,0.42,1.2582,1.1442,23423783,790580245,74311837265,69195710405
2020/6/5,'002230,科大讯飞,33.38,33.65,32.98,33.28,33.3,0.08,0.2402,0.8848,18114361,602873543.5,73388435737,68335882051
2020/6/4,'002230,科大讯飞,33.3,33.86,33.2,33.53,33.46,-0.16,-0.4782,1.0636,21774129,728413754.9,73212549731,68172105221
2020/6/3,'002230,科大讯飞,33.46,34.55,33.37,34.25,33.28,0.18,0.5409,2.2011,45061866,1529858756,73564321742,68499658880
2020/6/2,'002230,科大讯飞,33.28,33.61,32.71,33.04,32.94,0.34,1.0322,1.5084,30880546,1024432252,73168578230,68131161014
2020/6/1,'002230,科大讯飞,32.94,33.06,32.13,32.2,31.95,0.99,3.0986,1.5013,30734174,1005989768,72421062707,67435109489
2020/5/29,'002230,科大讯飞,31.95,32.2,31.48,31.51,31.76,0.19,0.5982,0.9361,19164519,612902695.1,70244473391,65408371226
2020/5/28,'002230,科大讯飞,31.76,32.26,31.4,31.99,31.7,0.06,0.1893,0.9968,20406085,648539201.3,69826744128,65019401256
2020/5/27,'002230,科大讯飞,31.7,32.25,31.55,32.25,32.2,-0.5,-1.5528,1.0902,22319253,708397163.1,69694829624,64896568634
2020/5/26,'002230,科大讯飞,32.2,32.22,31.75,31.75,31.55,0.65,2.0602,0.9581,19614912,628701459.5,70794117157,65920173817
2020/5/25,'002230,科大讯飞,31.55,32.53,31.33,32.42,32.4,-0.85,-2.6235,1.3658,27959985,888685397.7,69365043364,64589487079
2020/5/22,'002230,科大讯飞,32.4,33.13,32.21,32.89,32.87,-0.47,-1.4299,1.0909,22333479,729592692.7,71233832171,66329615891
2020/5/21,'002230,科大讯飞,32.87,34.63,32.82,34.55,34.29,-1.42,-4.1411,1.9827,40589292,1358138917,72267162452,67291804763
2020/5/20,'002230,科大讯飞,34.29,34.93,34.12,34.57,34.63,-0.34,-0.9818,1.563,31998095,1105099213,75389139047,70198843484
2020/5/19,'002230,科大讯飞,34.63,34.65,33.47,33.62,33.22,1.41,4.2444,2.3804,48087913,1653451472,76136654570,69956885186
2020/5/18,'002230,科大讯飞,33.22,33.78,32.89,33.44,33.42,-0.2,-0.5984,1.3157,26578897,885898779.9,73036663726,67108510709
2020/5/15,'002230,科大讯飞,33.42,34.04,33.09,33.94,33.89,-0.47,-1.3868,1.42,28685510,960023968.3,73476378739,67512535458
2020/5/14,'002230,科大讯飞,33.89,34.28,33.87,33.91,34.05,-0.16,-0.4699,0.7278,14702163,500046197.1,74509709021,68461993616
2020/5/13,'002230,科大讯飞,34.05,34.16,33.77,34.15,34.15,-0.1,-0.2928,0.8514,17199364,584389591.4,74861481031,68785213415
2020/5/12,'002230,科大讯飞,34.15,34.62,33.69,34.6,34.54,-0.39,-1.1291,1.1544,23320586,794727965.7,75081338538,68987225789
2020/5/11,'002230,科大讯飞,34.54,34.85,34.21,34.78,34.27,0.27,0.7879,1.4368,29025881,1002118548,75938782814,69775074049
2020/5/8,'002230,科大讯飞,34.27,34.74,34.06,34.06,33.9,0.37,1.0914,1.666,33655696,1158610327,75345167546,69229640638
2020/5/7,'002230,科大讯飞,33.9,34.35,33.62,33.9,33.86,0.04,0.1181,1.4035,28351987,962345281,74531694771,68482194854
2020/5/6,'002230,科大讯飞,33.86,33.97,32.78,32.89,33.28,0.58,1.7428,1.7889,36138844,1210567650,74443751769,68401389904
2020/4/30,'002230,科大讯飞,33.28,33.5,32.6,32.6,32.27,1.01,3.1298,1.6121,32566333,1080705858,73168578230,67229718134
2020/4/29,'002230,科大讯飞,32.27,32.83,32.26,32.4,32.76,-0.49,-1.4957,0.8142,16447157,534669111.2,70948017412,65189393154
2020/4/28,'002230,科大讯飞,32.76,32.8,30.87,32.79,32.8,-0.04,-0.122,2.1748,43933417,1404920378,72025319195,66179253788
2020/4/27,'002230,科大讯飞,32.8,33.85,32.5,33.74,33.74,-0.94,-2.786,2.2018,44479395,1462934559,72113262198,66260058738
2020/4/24,'002230,科大讯飞,33.74,34.92,33.72,34.61,34.71,-0.97,-2.7946,1.695,34240581,1169631182,74179922761,68158975055
2020/4/23,'002230,科大讯飞,34.71,35.29,34.68,35.25,35.25,-0.54,-1.5319,1.1898,24035224,837641373.8,76312540576,70118495085
2020/4/22,'002230,科大讯飞,35.25,35.29,34.21,34.4,34.54,0.71,2.0556,1.8713,37803211,1321240909,77499771112,71209361906
2020/4/21,'002230,科大讯飞,34.54,34.96,34.06,34.96,35.03,-0.49,-1.3988,1.3646,27565833,950708020.7,75938782814,69775074049
2020/4/20,'002230,科大讯飞,35.03,35.06,34.59,34.75,34.63,0.4,1.1551,1.2164,24572314,857985971.2,77016084597,70764934682
2020/4/17,'002230,科大讯飞,34.63,35.16,34.48,34.81,34.42,0.21,0.6101,1.5927,32175278,1120220448,76136654570,69956885186
2020/4/16,'002230,科大讯飞,34.42,34.82,34.22,34.6,34.71,-0.29,-0.8355,1.4148,28581712,984091334.6,75674953806,69532659200
2020/4/15,'002230,科大讯飞,34.71,35.35,34.62,35.02,35.07,-0.36,-1.0265,1.3246,26757901,936677974.4,76312540576,70118495085
2020/4/14,'002230,科大讯飞,35.07,35.1,34.11,34.12,34.93,0.14,0.4008,1.9778,39953427,1382176034,77104027600,70845739632
2020/4/13,'002230,科大讯飞,34.93,35.4,34.68,35.4,35.76,-0.83,-2.321,1.287,25999032,909749341.6,76796227090,70562922308
2020/4/10,'002230,科大讯飞,35.76,37.15,35.61,37.1,36.94,-1.18,-3.1944,2.1957,44355648,1605613364,78621044396,72239625014
2020/4/9,'002230,科大讯飞,36.94,37.1,35.64,35.95,35.59,1.35,3.7932,2.9711,60020008,2185782658,81215362975,74623371030
2020/4/8,'002230,科大讯飞,35.59,35.94,35.38,35.44,35.78,-0.19,-0.531,1.3442,27155296,967327523.6,78247286635,71896203978
2020/4/7,'002230,科大讯飞,35.78,35.96,35.33,35.61,34.8,0.98,2.8161,2.0393,41196207,1469417798,78665015897,72280027489
2020/4/3,'002230,科大讯飞,34.8,35.44,34.64,35.34,35.46,-0.66,-1.8613,1.3963,28206117,985460999.3,76510412332,70300306222
2020/4/2,'002230,科大讯飞,35.46,35.48,34.25,34.4,34.5,0.96,2.7826,1.6592,33518132,1171623325,77961471876,71633587891
2020/4/1,'002230,科大讯飞,34.5,35.1,34.1,34.46,34.46,0.04,0.1161,1.3015,26292862,912776509.7,75850839812,69694269099
2020/3/31,'002230,科大讯飞,34.46,35.11,34.24,35,34.53,-0.07,-0.2027,1.1613,23459599,813872387.3,75762896809,69613464149
2020/3/30,'002230,科大讯飞,34.53,35.4,34.03,35.4,35.99,-1.46,-4.0567,2.1338,43104496,1491206032,75916797064,69754872811
2020/3/27,'002230,科大讯飞,35.99,36.8,35.92,36.63,35.81,0.18,0.5027,2.3659,47793390,1741129982,79126716661,72704253475
2020/3/26,'002230,科大讯飞,35.81,36.64,35.5,35.6,35.99,-0.18,-0.5001,1.8042,36447680,1315734268,78730973149,72340631201
2020/3/25,'002230,科大讯飞,35.99,36.47,35.7,36.3,35.48,0.51,1.4374,2.0782,41981343,1513650758,79126716661,72704253475
2020/3/24,'002230,科大讯飞,35.48,35.69,34.51,35.46,34.74,0.74,2.1301,1.9731,39859528,1406401275,78005443377,71673990366
2020/3/23,'002230,科大讯飞,34.74,35.66,34.31,35,36.23,-1.49,-4.1126,2.3104,46673415,1632570939,76378497828,70179098797
2020/3/20,'002230,科大讯飞,36.23,37.2,35.9,37.01,36.51,-0.28,-0.7669,2.0645,41705516,1518914867,79654374677,73189083173
2020/3/19,'002230,科大讯飞,36.51,36.82,34.89,35.8,35.63,0.88,2.4698,2.7976,56515924,2034234653,80269975696,73754717820
2020/3/18,'002230,科大讯飞,35.63,37.47,35.56,36.58,36.29,-0.66,-1.8187,2.7301,55150654,2022064090,78335229637,71977008928
2020/3/17,'002230,科大讯飞,36.29,36.97,34.7,36.58,36.1,0.19,0.5263,2.855,57674262,2078586839,79786289181,73310290597
2020/3/16,'002230,科大讯飞,36.1,38.6,35.81,38.6,38.31,-2.21,-5.7687,3.264,65398460,2420893112,79368559919,72330539116
2020/3/13,'002230,科大讯飞,38.31,39.14,36,36,38.44,-0.13,-0.3382,3.3499,67119089,2521770645,84227410817,76758530569
2020/3/12,'002230,科大讯飞,38.44,39.08,37.9,39,39.9,-1.46,-3.6591,3.3837,67796090,2609873813,84513225576,77019000655
2020/3/11,'002230,科大讯飞,39.9,41.75,39.78,41.39,41.18,-1.28,-3.1083,3.2412,64942009,2636262940,87723145173,79944280076
2020/3/10,'002230,科大讯飞,41.18,41.2,39.2,39.38,39.75,1.43,3.5975,3.9044,78228464,3153919774,90537321259,82508908610
2020/3/9,'002230,科大讯飞,39.75,41.17,39.56,40.62,41.85,-2.1,-5.0179,4.0316,80778644,3255512606,87393358913,79643737670
2020/3/6,'002230,科大讯飞,41.85,42.65,41.45,41.88,42.8,-0.95,-2.2196,3.3975,68072673,2850403842,92010366554,83851331358
2020/3/5,'002230,科大讯飞,42.8,44.68,41.98,44.5,43.26,-0.46,-1.0633,5.1457,103100170,4448259504,94099012868,85754766598
2020/3/4,'002230,科大讯飞,43.26,44.44,41.88,43.28,43.8,-0.54,-1.2329,6.2673,125571756,5437591390,95110357398,86676429977
2020/3/3,'002230,科大讯飞,43.8,44.86,41.26,41.7,40.78,3.02,7.4056,9.4482,189305067,8292350126,96297587935,87758382640
2020/3/2,'002230,科大讯飞,40.78,41.22,39.12,39.85,38.59,2.19,5.675,4.3537,87231419,3511965316,89657891232,81707462193
2020/2/28,'002230,科大讯飞,38.59,40.42,38.5,39.39,40.99,-2.4,-5.8551,4.4805,89772145,3534285428,84843011836,77319543061
2020/2/27,'002230,科大讯飞,40.99,41.83,39.15,39.96,39.78,1.21,3.0417,4.5472,91107585,3705661295,90119591996,82128221562
2020/2/26,'002230,科大讯飞,39.78,41.19,39.4,41,42,-2.22,-5.2857,4.5756,91676891,3706319345,87459316165,79703846151
2020/2/25,'002230,科大讯飞,42,42.13,39.74,41.43,42.4,-0.4,-0.9434,5.8793,117799191,4859846718,92340152814,84151873764
2020/2/24,'002230,科大讯飞,42.4,43.19,41.35,41.99,41.34,1.06,2.5641,5.7601,115410150,4899672443,93219582841,84953320181
2020/2/21,'002230,科大讯飞,41.34,42.22,39.05,39.05,39.01,2.33,5.9728,7.1605,143469143,5899911959,90889093270,82829487176
2020/2/20,'002230,科大讯飞,39.01,39.27,38.15,38.88,38.66,0.35,0.9053,3.0751,61613714,2393525707,85766413364,78161061798
2020/2/19,'002230,科大讯飞,38.66,39.71,38.62,39.71,40.05,-1.39,-3.4707,4.2163,84477867,3300201456,84996912090,77459796184
2020/2/18,'002230,科大讯飞,40.05,40.52,39.13,39.71,39.54,0.51,1.2898,4.8443,97061812,3862633425,88052931433,80244822482
2020/2/17,'002230,科大讯飞,39.54,39.66,38.3,38.36,38.36,1.18,3.0761,4.7378,94927024,3718514224,86931658149,79222978301
2020/2/14,'002230,科大讯飞,38.36,39.14,38.05,38.2,38.42,-0.06,-0.1562,3.1203,62518707,2409471369,84337339570,76858711371
2020/2/13,'002230,科大讯飞,38.42,39.5,38.2,39.1,39.3,-0.88,-2.2392,3.7262,74657952,2885889011,84469254074,76978928334
2020/2/12,'002230,科大讯飞,39.3,39.35,37.6,37.88,37.83,1.47,3.8858,5.219,104569399,4054918335,86404000133,78742110451
2020/2/11,'002230,科大讯飞,37.83,39.68,37.69,39.4,39.02,-1.19,-3.0497,4.1647,83444074,3193150986,83172094785,75796794869
2020/2/10,'002230,科大讯飞,39.02,39.7,38.1,39.11,38.86,0.16,0.4117,4.2076,84304345,3281871853,85788399114,78181097959
2020/2/7,'002230,科大讯飞,38.86,39.8,38.1,38.88,39.3,-0.44,-1.1196,5.3634,107461310,4183592782,85436627104,77860519392
2020/2/6,'002230,科大讯飞,39.3,39.37,37.8,38.32,38.19,1.11,2.9065,6.5378,130991689,5081874374,86404000133,78742110451
2020/2/5,'002230,科大讯飞,38.19,38.67,35.2,35.99,35.15,3.04,8.6486,7.9483,159254243,5987569732,83963581809,76518096644
2020/2/4,'002230,科大讯飞,35.15,35.15,32.5,32.55,31.95,3.2,10.0156,5.3252,106696515,3674946269,77279913605,70427103876
2020/2/3,'002230,科大讯飞,31.95,33.65,31.67,31.67,35.19,-3.24,-9.2072,4.8171,96516579,3127358382,70244473391,64015532542
2020/1/23,'002230,科大讯飞,35.19,36.6,34.4,36.36,36.86,-1.67,-4.5307,3.2426,64969974,2312794863,77367856608,70507248518
2020/1/22,'002230,科大讯飞,36.86,36.98,35.75,35.86,36.03,0.83,2.3036,2.5412,50916222,1862660438,81039476970,73853287308
2020/1/21,'002230,科大讯飞,36.03,36.95,35.98,36.57,36.62,-0.59,-1.6111,1.7456,34975462,1270504619,79214659664,72190285993
2020/1/20,'002230,科大讯飞,36.62,36.73,35.62,36,35.96,0.66,1.8354,2.0617,41308943,1502080993,80511818954,73372419458
2020/1/17,'002230,科大讯飞,35.96,36.56,35.86,36.51,36.32,-0.36,-0.9912,1.5596,31248738,1130456933,79060759409,72050032870
2020/1/16,'002230,科大讯飞,36.32,36.76,36.15,36.28,36.28,0.04,0.1103,1.6387,32834088,1196855410,79852246433,72771334645
2020/1/15,'002230,科大讯飞,36.28,36.7,35.8,36.31,36.4,-0.12,-0.3297,1.7129,34319862,1240427491,79764303431,72691190004
2020/1/14,'002230,科大讯飞,36.4,37.18,36.35,37.1,36.99,-0.59,-1.595,1.8703,37473692,1371788079,80028132439,72931623929
2020/1/13,'002230,科大讯飞,36.99,37.28,36.2,36.35,36.26,0.73,2.0132,2.5006,50102186,1846205642,81325291728,74113757394
2020/1/10,'002230,科大讯飞,36.26,37.11,36.01,36.45,36.54,-0.28,-0.7663,1.9757,39585945,1446077464,79720331929,72651117683
2020/1/9,'002230,科大讯飞,36.54,36.84,36.24,36.58,36.05,0.49,1.3592,2.32,46484015,1698261946,80335932948,73212130175
2020/1/8,'002230,科大讯飞,36.05,36.66,36.03,36.45,36.75,-0.7,-1.9048,2.352,47125351,1709205341,79258631165,72230358314
2020/1/7,'002230,科大讯飞,36.75,36.82,36.21,36.71,36.72,0.03,0.0817,2.4822,49733045,1816298067,80797633712,73632889544
2020/1/6,'002230,科大讯飞,36.72,37.63,34.21,34.3,34.66,2.06,5.9435,6.2056,124336428,4546572811,80731676460,73572781062
2020/1/3,'002230,科大讯飞,34.66,35.29,34.43,34.96,35.04,-0.38,-1.0845,2.197,44019437,1531343101,76202611822,69445332016
2020/1/2,'002230,科大讯飞,35.04,35.54,34.61,34.61,34.48,0.56,1.6241,2.4378,48843804,1713274184,77038070348,70206706112
2019/12/31,'002230,科大讯飞,34.48,34.85,34.21,34.3,34.46,0.02,0.058,1.2517,25080017,866344313.8,75806868310,69084681128
2019/12/30,'002230,科大讯飞,34.46,34.61,33.6,34.3,34.3,0.16,0.4665,1.7086,34232805,1171075705,75762896809,69044608807
2019/12/27,'002230,科大讯飞,34.3,35.75,34.3,35.4,35.54,-1.24,-3.489,2.9596,59298820,2076793525,75411124798,68724030241
2019/12/26,'002230,科大讯飞,35.54,35.85,34.17,34.78,34.05,1.49,4.3759,4.7213,94597170,3313258649,78137357881,71208514133
2019/12/25,'002230,科大讯飞,34.05,34.16,33.6,33.76,33.72,0.33,0.9786,1.496,29974223,1017444944,74861481031,68223126230
2019/12/24,'002230,科大讯飞,33.72,33.73,33,33.06,33.07,0.65,1.9655,1.0461,20960005,699891717.8,74135951259,67561932936
2019/12/23,'002230,科大讯飞,33.07,34.21,32.99,33.75,33.43,-0.36,-1.0769,1.6065,32187917,1081358175,72706877466,66259582509
2019/12/20,'002230,科大讯飞,33.43,34.12,33.38,34.06,33.94,-0.51,-1.5027,1.4103,28257474,949472638.9,73498364490,66980884284
2019/12/19,'002230,科大讯飞,33.94,34.2,33.72,33.88,33.8,0.14,0.4142,1.413,28310687,961359659.1,74619637774,68002728466
2019/12/18,'002230,科大讯飞,33.8,34.29,33.65,33.78,33.77,0.03,0.0888,1.8944,37956089,1290450196,74311837265,67722222220
2019/12/17,'002230,科大讯飞,33.77,34.09,33.42,33.76,33.65,0.12,0.3566,2.2105,44289733,1492398641,74245880013,67662113738
2019/12/16,'002230,科大讯飞,33.65,33.74,32.8,32.9,32.7,0.95,2.9052,2.6595,53286566,1780367691,73982051005,67421679813
2019/12/13,'002230,科大讯飞,32.7,32.8,32.33,32.56,32.2,0.5,1.5528,1.5752,31560360,1027917684,71893404691,65518244573
2019/12/12,'002230,科大讯飞,32.2,32.51,32.08,32.5,32.63,-0.43,-1.3178,1.3354,26755737,863102962.6,70794117157,64516436552
2019/12/11,'002230,科大讯飞,32.63,33.37,32.6,32.75,32.72,-0.09,-0.2751,1.9052,38172433,1257652039,71739504436,65377991451
2019/12/10,'002230,科大讯飞,32.72,32.73,32.07,32.49,32.54,0.18,0.5532,1.3509,27066633,877332266,71937376192,65558316894
2019/12/9,'002230,科大讯飞,32.54,32.69,32.23,32.46,32.42,0.12,0.3701,1.3002,26051467,845353488.3,71541632680,65197666007
2019/12/6,'002230,科大讯飞,32.42,32.45,31.88,32.28,32.38,0.04,0.1235,1.5039,30028863,964243853.9,71277803672,64735063657
2019/12/5,'002230,科大讯飞,32.38,32.48,32.02,32.05,32.05,0.33,1.0296,1.383,27614756,889817347,71189860670,64655193128
2019/12/4,'002230,科大讯飞,32.05,32.58,31.87,32.58,32.66,-0.61,-1.8677,1.5441,30832613,989439773.8,70464330897,63996261265
2019/12/3,'002230,科大讯飞,32.66,32.8,32.08,32.76,32.96,-0.3,-0.9102,1.1652,23267134,754002663.2,71805461688,65214286831
2019/12/2,'002230,科大讯飞,32.96,33.4,32.86,32.96,32.96,0,0,0.8408,16788242,555971529.2,72465034208,65813315797
2019/11/29,'002230,科大讯飞,32.96,33.26,32.73,32.77,33.03,-0.07,-0.2119,0.7018,14013116,461583920.3,72465034208,65813315797
2019/11/28,'002230,科大讯飞,33.03,33.46,32.88,33.09,33.24,-0.21,-0.6318,0.6858,13693641,453813032.8,72618934463,65953089223
2019/11/27,'002230,科大讯飞,33.24,33.42,32.85,33,33.22,0.02,0.0602,0.842,16813186,558113196.5,73080635227,66372409499
2019/11/26,'002230,科大讯飞,33.22,33.22,32.78,33.05,33,0.22,0.6667,0.9989,19945919,658612863.5,73036663726,66332474235
2019/11/25,'002230,科大讯飞,33,34.17,32.61,34.06,34.08,-1.08,-3.169,2.3537,46996928,1553849539,72552977211,65893186326
2019/11/22,'002230,科大讯飞,34.08,35.21,33.41,33.41,33.5,0.58,1.7313,3.7558,74994302,2590578416,74927438283,68049690606
2019/11/21,'002230,科大讯飞,33.5,33.7,32.91,33.24,33.37,0.13,0.3896,0.8279,16531069,551586098.5,73652264745,66891567937
2019/11/20,'002230,科大讯飞,33.37,34.1,33.25,33.8,33.87,-0.5,-1.4762,1.2026,24013570,808224401.9,73366449986,66631988718
2019/11/19,'002230,科大讯飞,33.87,33.97,32.81,33.1,33.09,0.78,2.3572,1.5954,31856898,1072597910,74465737519,67630370329
2019/11/18,'002230,科大讯飞,33.09,33.1,32.68,32.7,32.79,0.3,0.9149,0.9114,18199058,599171316.1,72750848967,66072895016
2019/11/15,'002230,科大讯飞,32.79,33.86,32.7,33.7,33.84,-1.05,-3.1028,1.4749,29449863,979062588.5,72091276447,65473866049
2019/11/14,'002230,科大讯飞,33.84,33.97,33.1,33.1,33.07,0.77,2.3284,1.4097,28149012,948230711.6,74399780267,67570467433
2019/11/13,'002230,科大讯飞,33.07,33.23,32.65,32.9,33.03,0.04,0.1211,0.8532,17036335,561278395.2,72706877466,66032959752
2019/11/12,'002230,科大讯飞,33.03,33.65,32.5,33.51,33.6,-0.57,-1.6964,1.5454,30858648,1016555592,72618934463,65953089223
2019/11/11,'002230,科大讯飞,33.6,34.67,33.6,34.26,34.5,-0.9,-2.6087,1.9402,38741669,1318451610,73872122251,67091244259
2019/11/8,'002230,科大讯飞,34.5,35.06,33.68,33.86,33.48,1.02,3.0466,3.1587,63071250,2184278038,75850839812,68888331159
2019/11/7,'002230,科大讯飞,33.48,33.76,33.22,33.22,33.43,0.05,0.1496,0.7291,14557565,487592991.4,73608293243,66851632673
2019/11/6,'002230,科大讯飞,33.43,33.96,33.29,33.91,34.03,-0.6,-1.7632,1.0928,21821504,733568585.9,73498364490,66751794512
2019/11/5,'002230,科大讯飞,34.03,34.19,33.6,33.78,33.68,0.35,1.0392,1.3731,27418144,931272738.8,74817509530,67949852445
2019/11/4,'002230,科大讯飞,33.68,34.05,33.35,33.65,33.52,0.16,0.4773,1.2291,24541742,828311002.6,74048008257,67250985317
2019/11/1,'002230,科大讯飞,33.52,33.78,33.05,33.09,33.09,0.43,1.2995,1.1874,23709365,794643469.4,73696236246,66931503201
2019/10/31,'002230,科大讯飞,33.09,33.34,32.91,33.08,33.02,0.07,0.212,0.8666,17303073,573108406.9,72750848967,66072895016
